Scan Date,Scan Time,Target Type,Target Name,Number,Rule,Severity,Result
2024-02-25,10:40:38 +0000,cluster,cluster2,3.2.1,Ensure that the cluster's audit profile is properly set,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,3.2.2,Ensure that the cluster's audit profile is properly set,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,4.1.3,Verify Permissions on the Worker Proxy Kubeconfig File,medium,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,4.1.4,Verify Group Who Owns The Worker Proxy Kubeconfig File,medium,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,4.1.4,Verify User Who Owns The Worker Proxy Kubeconfig File,medium,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,4.2.5,kubelet - Disable the Read-Only Port,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,4.2.9,Ensure That The kubelet Client Certificate Is Correctly Set,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,4.2.9,Ensure That The kubelet Server Key Is Correctly Set,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.1,Ensure that the kubeadmin secret has been removed,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.1,Ensure that the cluster-admin role is only used where required,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.2,Limit Access to Kubernetes Secrets,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.3,Minimize Wildcard Usage in Cluster and Local Roles,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.4,Minimize Access to Pod Creation,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.5,Ensure Usage of Unique Service Accounts ,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.1.6,Restrict Automounting of Service Account Tokens,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.1,Limit Privileged Container Use,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.2,Limit Access to the Host Process ID Namespace,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.3,Limit Access to the Host IPC Namespace,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.4,Limit Access to the Host Network Namespace,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.5,Limit Containers Ability to Escalate Privileges,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.6,Limit Container Running As Root User,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.7,Limit Use of the CAP_NET_RAW,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.8,Limit Container Capabilities,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.9,Drop Container Capabilities,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.2.10,Ensure that the RBAC setup follows the principle of least privilege,high,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.3.1,Ensure that the CNI in use supports Network Policies,high,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,5.3.2,Ensure that HyperShift Hosted Namespaces have Network Policies defined.,high,notapplicable
2024-02-25,10:40:38 +0000,cluster,cluster2,5.3.2,Ensure that application Namespaces have Network Policies defined.,high,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,5.4.1,Do Not Use Environment Variables with Secrets,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.4.2,Consider external secret storage,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.5.1,Allowed registries are configured,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,5.5.1,Allowed registries for import are configured,medium,fail
2024-02-25,10:40:38 +0000,cluster,cluster2,5.5.1,Check configured allowed registries for import uses secure protocol,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,5.5.1,Check if any insecure registry sources is configured,medium,pass
2024-02-25,10:40:38 +0000,cluster,cluster2,5.7.1,Create administrative boundaries between resources using namespaces,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.7.2,Ensure Seccomp Profile Pod Definitions,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.7.3,Apply Security Context to Your Pods and Containers,medium,notchecked
2024-02-25,10:40:38 +0000,cluster,cluster2,5.7.4,The default namespace should not be used,medium,notchecked
